N,alpha,ax,az,n_eff,vx,vx_scaled,vz,vz_scaled
500,0.04570881896148749,10.0,1.0,0.03975073208158742,0.09034257291269869,0.9034257291269869,0.9602492679184126,0.9602492679184126
500,0.05248074602497726,0.3,1.0,0.011802784316070798,0.7565887382096665,0.22697662146289996,0.9881972156839292,0.9881972156839292
500,0.05248074602497726,1.0,1.0,0.025716745840233635,0.4945528046198776,0.4945528046198776,0.9742832541597664,0.9742832541597664
500,0.05248074602497726,10.0,1.0,0.04701204456872056,0.0904077780167703,0.904077780167703,0.9529879554312795,0.9529879554312795
500,0.06025595860743578,0.3,1.0,0.013619240994868964,0.7566244997149425,0.22698734991448274,0.986380759005131,0.986380759005131
500,0.06025595860743578,1.0,1.0,0.029386512492857026,0.4897752082142838,0.4897752082142838,0.9706134875071429,0.9706134875071429
500,0.06025595860743578,10.0,1.0,0.05426881743176927,0.09044802905294878,0.9044802905294879,0.9457311825682307,0.9457311825682307
500,0.06918309709189363,0.3,1.0,0.015548133763752789,0.7621634197918034,0.228649025937541,0.9844518662362473,0.9844518662362473
500,0.06918309709189363,1.0,1.0,0.033384632561596794,0.49095047884701165,0.49095047884701165,0.9666153674384033,0.9666153674384033
500,0.06918309709189363,10.0,1.0,0.061375108492947694,0.09025751248962896,0.9025751248962897,0.9386248915070523,0.9386248915070523
500,0.07943282347242814,0.3,1.0,0.017796253093382532,0.760523636469339,0.22815709094080167,0.9822037469066175,0.9822037469066175
500,0.07943282347242814,1.0,1.0,0.03854019045622465,0.494105005849034,0.494105005849034,0.9614598095437753,0.9614598095437753
500,0.07943282347242814,10.0,1.0,0.0703706707640018,0.09021880867179718,0.9021880867179719,0.9296293292359982,0.9296293292359982
500,0.09120108393559097,0.3,1.0,0.02047114057559199,0.7581903916885923,0.22745711750657766,0.979528859424408,0.979528859424408
500,0.09120108393559097,1.0,1.0,0.04347512678155517,0.4830569642395019,0.4830569642395019,0.9565248732184448,0.9565248732184448
500,0.09120108393559097,10.0,1.0,0.08112014120126722,0.09013349022363025,0.9013349022363025,0.9188798587987328,0.9188798587987328
500,0.10471285480508996,0.3,1.0,0.02349292951033776,0.7529785099467231,0.22589355298401692,0.9765070704896622,0.9765070704896622
500,0.10471285480508996,1.0,1.0,0.050318996316017044,0.48383650303862547,0.48383650303862547,0.949681003683983,0.949681003683983
500,0.10471285480508996,10.0,1.0,0.09373684690485193,0.09013158356235762,0.9013158356235762,0.906263153095148,0.906263153095148
500,0.12022644346174131,0.3,1.0,0.027056508899284223,0.751569691646784,0.2254709074940352,0.9729434911007158,0.9729434911007158
500,0.12022644346174131,1.0,1.0,0.05810286996571524,0.484190583047627,0.484190583047627,0.9418971300342848,0.9418971300342848
500,0.12022644346174131,10.0,1.0,0.10795222254126816,0.0899601854510568,0.899601854510568,0.8920477774587319,0.8920477774587319
500,0.13803842646028847,0.3,1.0,0.031219144354646684,0.7540856124310793,0.22622568372932378,0.9687808556453533,0.9687808556453533
500,0.13803842646028847,1.0,1.0,0.06617393756613994,0.47952128671115896,0.47952128671115896,0.93382606243386,0.93382606243386
500,0.13803842646028847,10.0,1.0,0.1237259791185395,0.08965650660763731,0.8965650660763731,0.8762740208814606,0.8762740208814606
500,0.15848931924611134,0.3,1.0,0.035754486626098377,0.7543140638417379,0.22629421915252138,0.9642455133739016,0.9642455133739016
500,0.15848931924611134,1.0,1.0,0.07606113579718875,0.4813995936530933,0.4813995936530933,0.9239388642028112,0.9239388642028112
500,0.15848931924611134,10.0,1.0,0.14140275582695266,0.08949541508034978,0.8949541508034977,0.8585972441730474,0.8585972441730474
500,0.18197008586099836,0.3,1.0,0.03999420341772422,0.7406333966245227,0.2221900189873568,0.9600057965822758,0.9600057965822758
500,0.18197008586099836,1.0,1.0,0.08623150217686953,0.47906390098260854,0.47906390098260854,0.9137684978231304,0.9137684978231304
500,0.18197008586099836,10.0,1.0,0.16084842091300594,0.08936023384055887,0.8936023384055887,0.8391515790869941,0.8391515790869941
500,0.20892961308540386,0.3,1.0,0.04630470747908574,0.7420626198571433,0.222618785957143,0.9536952925209142,0.9536952925209142
500,0.20892961308540386,1.0,1.0,0.09843522585582794,0.47324627815301895,0.47324627815301895,0.901564774144172,0.901564774144172
500,0.20892961308540386,10.0,1.0,0.18506338225910898,0.08897277993226393,0.8897277993226393,0.814936617740891,0.814936617740891
500,0.239883291901949,0.3,1.0,0.05249052484261313,0.7351614123615285,0.22054842370845856,0.9475094751573869,0.9475094751573869
500,0.239883291901949,1.0,1.0,0.11143076878272747,0.46819650749045155,0.46819650749045155,0.8885692312172725,0.8885692312172725
