M,N,alpha,mse_x,mse_z,mx,mz,overlap_x,overlap_z,r0,replicate,tau_x,tau_z,v0,v_noise,vx,vz
10,1000,0.01,0.05400608706994161,0.9897620646195503,0.8826224227083088,0.009056727662395514,0.7772805828775057,0.007966055480168075,0,11,0.9731896993322635,1,1,0.1,0.09056727662395468,0.9909432723376045
10,1000,0.01,0.08965327184053037,1.0408811093330004,0.9336585867557782,0.009100553001988976,0.6388875434072323,0.007375523519145361,0,12,1.0246641167756674,1,1,0.1,0.09100553001988924,0.990899446998011
10,1000,0.01,0.07813863325499228,1.039147628480615,0.9089929050368463,0.009084561648521339,0.6407149381869497,0.0065776873979571425,0,13,0.9998385215220598,1,1,0.1,0.09084561648521347,0.9909154383514787
10,1000,0.01,0.1551357771891436,0.9615857936063514,0.8945859526731996,0.009067253777852557,1.1715286469843131,0.011590752841836206,0,14,0.9852584904517252,1,1,0.1,0.09067253777852562,0.9909327462221474
10,1000,0.01,0.1911233329132343,0.9233613497400479,0.9319358352761304,0.009100407566303481,1.578722288444856,0.014686532943692576,0,15,1.0229399109391655,1,1,0.1,0.09100407566303509,0.9908995924336965
10,1000,0.01,0.1094351960777673,0.9331911567955564,0.8859887498715031,0.009061265740735625,2.3917000472612537,0.022466584881025983,0,16,0.9766014072788597,1,1,0.1,0.09061265740735656,0.9909387342592644
10,1000,0.01,0.08358270008709771,0.958054555165704,0.9091385290226381,0.00908297822104931,0.7250444558967606,0.007736198415189038,0,17,0.9999683112331311,1,1,0.1,0.09082978221049293,0.9909170217789507
10,1000,0.01,0.19570616472282193,0.9365281123439723,0.8874549455599681,0.00906415365081581,0.7743756179419132,0.007555915067032842,0,18,0.9780964820681263,1,1,0.1,0.09064153650815818,0.9909358463491842
10,1000,0.01,0.08842397515106136,1.020889293364539,0.9189446768188813,0.009093106778859661,0.39185996221977387,0.0038201710296559836,0,19,1.0098757446074782,1,1,0.1,0.09093106778859698,0.9909068932211403
10,1000,0.01,0.3528370845459393,0.9164510505368564,0.7855868881485921,0.007709453158330493,0.6408316009871785,0.005776164146234786,0,0,1.0168704828985073,1,1,0.3,0.23128359474991522,0.9922905468416695
10,1000,0.01,0.15927518899163673,1.0112427026138169,0.7903656130066465,0.007714685795198961,0.9577307784253216,0.009229259388381532,0,1,1.0218061868626163,1,1,0.3,0.23144057385596972,0.992285314204801
10,1000,0.01,0.15143998909666537,1.0357547930334745,0.7591064242940214,0.007657637480000035,0.6984570282793874,0.007367061007326696,0,2,0.988835548694022,1,1,0.3,0.2297291244000006,0.99234236252
10,1000,0.01,0.37964186542140843,1.0052960682694467,0.7565756923389102,0.00765701908168992,0.8887942606411603,0.009227858668850732,0,3,0.9862862647896072,1,1,0.3,0.2297105724506971,0.9923429809183101
10,1000,0.01,0.15693921796517352,1.0021109360851335,0.7667300043650342,0.007672954481864003,0.779775701186814,0.007719194049272685,0,4,0.9969186388209541,1,1,0.3,0.23018863445591986,0.992327045518136
10,1000,0.01,0.22786710271704425,0.9841064216043767,0.768934486533087,0.007676316867382571,0.37819444846248323,0.0037934091780145933,0,5,0.9992239925545633,1,1,0.3,0.23028950602147624,0.9923236831326174
10,1000,0.01,0.08970830948741136,0.9687649638899933,0.7684895976916248,0.007671499994683084,0.70181210122875,0.007645745095358248,0,6,0.9986345975321171,1,1,0.3,0.23014499984049233,0.9923285000053169
10,1000,0.01,0.26123086785670185,1.008975663673929,0.7756060317382772,0.007686632618110756,0.40482539548760926,0.004136447184757871,0,7,1.0062050102815987,1,1,0.3,0.23059897854332148,0.9923133673818892
10,1000,0.01,0.24785934631699985,0.9791550293688144,0.7657521097326581,0.007671504910016225,0.20794381770231324,0.0018759134624069208,0,8,0.9958972570331441,1,1,0.3,0.23014514730048602,0.9923284950899838
10,1000,0.01,0.26822219319246754,0.946382444479117,0.7633116081609481,0.007665452454757249,1.1201410454011484,0.010536229134019682,0,9,0.9932751818036639,1,1,0.3,0.22996357364271586,0.9923345475452428
