N,alpha,ax,az,n_eff,vx,vx_scaled,vz,vz_scaled
500,0.3,0.3311311214825911,1.0,0.07041577839015639,0.7088408369759998,0.23471926130052134,0.9295842216098436,0.9295842216098436
500,0.3,0.43651583224016566,1.0,0.08460764096172385,0.6460830261873431,0.28202546987241284,0.9153923590382762,0.9153923590382762
500,0.3,0.5754399373371566,1.0,0.1027284464514507,0.5950719312648899,0.342428154838169,0.8972715535485493,0.8972715535485493
500,0.3,0.7585775750291835,1.0,0.11933571866215557,0.5243837175895274,0.39778572887385194,0.8806642813378445,0.8806642813378445
500,0.3,1.0,1.0,0.1384819720191476,0.4616065733971587,0.4616065733971587,0.8615180279808524,0.8615180279808524
500,0.3,1.3182567385564075,1.0,0.1573904687712877,0.3979762671107663,0.5246348959042924,0.8426095312287123,0.8426095312287123
500,0.3,1.7378008287493745,1.0,0.17577822431253487,0.33716603461213945,0.5859274143751162,0.8242217756874651,0.8242217756874651
500,0.3,2.2908676527677723,1.0,0.19406143279799118,0.28236962614511396,0.6468714426599707,0.8059385672020088,0.8059385672020088
500,0.3,3.019951720402016,1.0,0.21136248405158137,0.23329565461115473,0.7045416135052712,0.7886375159484187,0.7886375159484187
500,0.3,3.981071705534969,1.0,0.22625303474225508,0.18944064268564556,0.7541767824741836,0.7737469652577449,0.7737469652577449
500,0.3,5.248074602497723,1.0,0.23982918852315468,0.1523283659172912,0.7994306284105157,0.7601708114768453,0.7601708114768453
500,0.3,6.918309709189363,1.0,0.2511564829891962,0.12101052306441909,0.837188276630654,0.7488435170108039,0.7488435170108039
500,0.3,9.120108393559097,1.0,0.2614222005420786,0.09554791429405345,0.871407335140262,0.7385777994579215,0.7385777994579215
500,0.3,12.02264434617413,1.0,0.2695115545953704,0.07472331566866289,0.8983718486512347,0.7304884454046296,0.7304884454046296
500,0.3,15.848931924611142,1.0,0.27595840417694173,0.058039327295491654,0.9198613472564725,0.7240415958230583,0.7240415958230583
500,0.3,20.892961308540407,1.0,0.28116262583476115,0.04485763118698903,0.9372087527825373,0.7188373741652389,0.7188373741652389
500,0.3,27.542287033381633,1.0,0.2853274184176129,0.034532041350547264,0.9510913947253763,0.7146725815823871,0.7146725815823871
500,0.3,36.3078054770101,1.0,0.28876154922402336,0.026510511576440094,0.9625384974134112,0.7112384507759766,0.7112384507759766
500,0.3,47.863009232263806,1.0,0.2912810576509642,0.020285746224707742,0.9709368588365473,0.7087189423490359,0.7087189423490359
500,0.3,63.0957344480193,1.0,0.29345082059079813,0.015502940262549458,0.9781694019693272,0.7065491794092018,0.7065491794092018
500,0.3,83.17637711026708,1.0,0.2949742509088004,0.011821235033185464,0.9832475030293348,0.7050257490911995,0.7050257490911995
500,0.3,109.64781961431851,1.0,0.29616921312034983,0.009003651088308985,0.9872307104011661,0.7038307868796502,0.7038307868796502
500,0.3,144.5439770745928,1.0,0.29704658302723147,0.006850200864796066,0.9901552767574383,0.7029534169727685,0.7029534169727685
500,0.3,190.54607179632444,1.0,0.2977470253659766,0.005208662005974768,0.9924900845532554,0.7022529746340234,0.7022529746340234
500,0.3,251.18864315095772,1.0,0.2983083358709015,0.003958622918202902,0.9943611195696717,0.7016916641290984,0.7016916641290984
500,0.3,331.13112148259074,1.0,0.29871539114375617,0.003007020197983829,0.9957179704791873,0.7012846088562439,0.7012846088562439
500,0.3,436.51583224016565,1.0,0.29902453357719105,0.0022834187711865276,0.9967484452573034,0.700975466422809,0.700975466422809
500,0.3,575.4399373371566,1.0,0.2992529620675426,0.0017334734849556042,0.9975098735584754,0.7007470379324574,0.7007470379324574
