A,A_dual,I,I_dual,alpha,ax,az,mx,mz,source,tau_x,tau_z,vx,vz
1.6357032562985188,-0.30620553986097865,0.6127329933436942,0.11273299334369424,2.0,1,1.66,0.7604546162027008,0.6855940966684811,empirical,0.9994977164375403,1,0.23904310023483938,0.31440590333151885
1.656370013733143,-0.2968722972956028,0.6220662359090698,0.12206623590906984,2.0,1,1.72,0.7642578446093157,0.6921393858467728,empirical,0.9994977164375403,1,0.23523987182822456,0.30786061415322724
1.6772287070992493,-0.28773099066170915,0.6312075425429637,0.13120754254296374,2.0,1,1.78,0.7679276191016723,0.69839336779311,empirical,0.9994977164375403,1,0.231570097335868,0.30160663220688994
1.6982709055679632,-0.27877318913042304,0.6401653440742496,0.14016534407424963,2.0,1,1.8399999999999999,0.771471554444967,0.7043762630354058,empirical,0.9994977164375403,1,0.22802616199257333,0.29562373696459426
1.7194887557048104,-0.2699910392672702,0.6489474939374025,0.14894749393740248,2.0,1,1.9,0.7748966509636585,0.7101063847093493,empirical,0.9994977164375403,1,0.2246010654738818,0.2898936152906507
1.7408749277291973,-0.26137721129165703,0.6575613219130156,0.15756132191301564,2.0,1,1.96,0.7782093589450759,0.715600364788229,empirical,0.9994977164375403,1,0.2212883574924643,0.2843996352117711
1.7624225680644279,-0.2529248516268876,0.6660136815777848,0.16601368157778484,2.0,1,2.02,0.781415634759611,0.7208733481959696,empirical,0.9994977164375403,1,0.21808208167792928,0.2791266518040304
1.784125257296655,-0.24462754085911476,0.6743109923455579,0.1743109923455579,2.0,1,2.08,0.7845209899536884,0.7259391600806269,empirical,0.9994977164375403,1,0.2149767264838519,0.27406083991937313
1.805976972804213,-0.23647925636667289,0.6824592768379998,0.18245927683799978,2.0,1,2.1399999999999997,0.7875305343534658,0.7308104505458639,empirical,0.9994977164375403,1,0.21196718208407453,0.26918954945413603
1.8279720554356045,-0.22847433899806413,0.6904641942066085,0.19046419420660854,2.0,1,2.2,0.7904490140414858,0.7354988203600494,empirical,0.9994977164375403,1,0.20904870239605441,0.2645011796399505
1.8501051797103178,-0.2206074632727777,0.698331069931895,0.19833106993189498,2.0,1,2.26,0.7932808449261565,0.7400149305410475,empirical,0.9994977164375403,1,0.20621687151138376,0.25998506945895244
1.8723713270958553,-0.21287361065831534,0.7060649225463578,0.20606492254635778,2.0,1,2.32,0.7960301425079708,0.744368598215146,empirical,0.9994977164375403,1,0.20346757392956943,0.25563140178485394
1.8947657619800053,-0.20526804554246514,0.7136704876622075,0.21367048766220753,2.0,1,2.38,0.7987007483513945,0.7485688807446603,empirical,0.9994977164375403,1,0.20079696808614575,0.2514311192553397
1.91728401001217,-0.19778629357462973,0.7211522396300427,0.2211522396300427,2.0,1,2.44,0.8012962536931499,0.7526241497904839,empirical,0.9994977164375403,1,0.19820146274439032,0.24737585020951613
1.9399218385333579,-0.1904241220958176,0.7285144111088551,0.22851441110885506,2.0,1,2.5,0.8038200205529399,0.7565421567076803,empirical,0.9994977164375403,1,0.1956776958846004,0.2434578432923197
1.9626752388530084,-0.18317752241546836,0.7357610107892048,0.23576101078920475,2.0,1,2.56,0.806275200658886,0.7603300904520736,empirical,0.9994977164375403,1,0.19322251577865424,0.23966990954792639
1.9855404101633378,-0.1760426937257975,0.7428958394788752,0.24289583947887516,2.0,1,2.62,0.8086647524550831,0.7639946289942421,empirical,0.9994977164375403,1,0.19083296398245717,0.23600537100575786
2.008513744909456,-0.169016028471916,0.7499225047327567,0.24992250473275668,2.0,1,2.6799999999999997,0.8109914564210464,0.7675419850869357,empirical,0.9994977164375403,1,0.18850626001649384,0.2324580149130643
2.0315918154569577,-0.16209409901941707,0.7568444341852554,0.2568444341852554,2.0,1,2.74,0.8132579289011725,0.7709779471068379,empirical,0.9994977164375403,1,0.18623978753636777,0.2290220528931622
2.0547713619187022,-0.15527364548116207,0.7636648877235106,0.2636648877235106,2.0,1,2.8,0.8154666346155836,0.774307915587112,empirical,0.9994977164375403,1,0.18403108182195674,0.22569208441288807
2.0780492810196445,-0.1485515645821045,0.7703869686225682,0.27038696862256817,2.0,1,2.86,0.8176198980010486,0.7775369359695745,empirical,0.9994977164375403,1,0.18187781843649165,0.22246306403042543
2.1014226158932936,-0.14192489945575337,0.7770136337489193,0.2770136337489193,2.0,1,2.92,0.8197199135113774,0.7806697280316184,empirical,0.9994977164375403,1,0.17977780292616288,0.21933027196838162
