N,mse,n_iter_ep,n_iter_se,overlap,p_pos,prior_type,rho,v_ep,v_se,var_noise
1000,0.448208880633532,2,2,0.5342689152711722,,gaussian,,0.4299759698453669,0.4299759698453669,0.7543120063354615
1000,0.4811531249112659,2,2,0.5154544046464682,,gaussian,,0.4765215129653763,0.4765215129653763,0.9102981779915218
1000,0.5267555560681889,2,2,0.46659949807108475,,gaussian,,0.5234784870346236,0.5234784870346236,1.0985411419875584
1000,0.5637937614649929,2,2,0.46869968114873073,,gaussian,,0.5700240301546328,0.5700240301546328,1.325711365590108
1000,0.61754319714699,2,2,0.3953116073066036,,gaussian,,0.6153637147823461,0.6153637147823461,1.5998587196060574
1000,0.6700958524301379,2,2,0.33036690645475475,,gaussian,,0.6587843262904316,0.6587843262904316,1.9306977288832496
1000,0.7453427721064506,2,2,0.32135268068895484,,gaussian,,0.699695353896058,0.699695353896058,2.329951810515372
1000,0.7295222100551257,2,2,0.2690606170000291,,gaussian,,0.7376545957441091,0.7376545957441091,2.811768697974228
1000,0.7142839134481671,2,2,0.20125196588831504,,gaussian,,0.7723766174525308,0.7723766174525308,3.3932217718953264
1000,0.7840749694667464,2,2,0.17123063081007087,,gaussian,,0.8037258741791891,0.8037258741791891,4.094915062380423
1000,0.8563863437300173,2,2,0.16842977610934737,,gaussian,,0.8316983773553835,0.8316983773553835,4.941713361323833
1000,0.8727947117282615,2,2,0.16095350320068377,,gaussian,,0.8563965977859611,0.8563965977859611,5.963623316594643
1000,0.880339204788279,2,2,0.11521617816971981,,gaussian,,0.8780020155361926,0.8780020155361926,7.196856730011514
1000,0.9441906071817022,2,2,0.09018787795567064,,gaussian,,0.8967487603034868,0.8967487603034868,8.68511373751352
1000,0.8396229138430233,2,2,0.10232993071999276,,gaussian,,0.9129005696170993,0.9129005696170993,10.481131341546853
1000,0.9550598575404278,2,2,0.0783692754462857,,gaussian,,0.9267321553487513,0.9267321553487513,12.648552168552959
1000,0.980929405884369,2,2,0.06146816605354127,,gaussian,,0.9385151898108453,0.9385151898108453,15.264179671752318
1000,0.9164376406323478,2,2,0.06453777219672385,,gaussian,,0.9485085493419847,0.9485085493419847,18.420699693267146
1000,0.9745207553348396,2,2,0.04655870198530844,,gaussian,,0.9569521517780117,0.9569521517780117,22.229964825261934
