a,error,error_scaled,s,tau,v,v_scaled
2.1739130434782608,0.22015130819533477,0.22015130819533477,1.5974933105107683,1.0,0.46,0.46
2.0833333333333335,0.23648438591614385,0.23648438591614385,1.502313031443329,1.0,0.48,0.48
2.0,0.2534132966610118,0.2534132966610118,1.4142135623730951,1.0,0.5,0.5
1.923076923076923,0.2709537309893551,0.2709537309893551,1.3323467750529823,1.0,0.52,0.52
1.8518518518518516,0.2891233013296701,0.2891233013296701,1.2559870339120864,1.0,0.54,0.54
1.7857142857142856,0.3079417245373158,0.3079417245373158,1.184508853698357,1.0,0.56,0.56
1.7241379310344829,0.3274310350003595,0.3274310350003595,1.11736908593239,1.0,0.58,0.58
1.6666666666666667,0.34761585149454394,0.34761585149454394,1.0540925533894598,1.0,0.6,0.6
1.6129032258064517,0.3685236927013074,0.3685236927013074,0.9942603230595125,1.0,0.62,0.62
1.5625,0.39018536261894177,0.39018536261894177,0.9375,1.0,0.64,0.64
1.5151515151515151,0.4126354182662709,0.4126354182662709,0.8834775598250455,1.0,0.66,0.66
1.4705882352941175,0.4359127437520147,0.4359127437520147,0.8318903308077028,1.0,0.68,0.68
1.4285714285714284,0.4600612548879307,0.4600612548879307,0.7824607964359513,1.0,0.7000000000000001,0.7000000000000001
1.3888888888888888,0.48513077709317143,0.48513077709317143,0.734930919740164,1.0,0.72,0.72
1.3513513513513513,0.5111781512056179,0.5111781512056179,0.6890566910260519,1.0,0.74,0.74
1.3157894736842106,0.5382686378043197,0.5382686378043197,0.6446025638903101,1.0,0.76,0.76
1.282051282051282,0.566477735660111,0.566477735660111,0.6013353538235164,1.0,0.78,0.78
1.25,0.5958935675033878,0.5958935675033878,0.5590169943749475,1.0,0.8,0.8
1.2195121951219512,0.6266200788280245,0.6266200788280245,0.5173952057462542,1.0,0.8200000000000001,0.8200000000000001
1.1904761904761905,0.6587814204767506,0.6587814204767506,0.47619047619047616,1.0,0.84,0.84
1.1627906976744187,0.6925281235193315,0.6925281235193315,0.43507644032255144,1.0,0.86,0.86
1.1363636363636365,0.72804608951371,0.72804608951371,0.3936479108111086,1.0,0.88,0.88
