N,alpha,ensemble_type,mse,mse_ep,mse_se,n_iter_ep,n_iter_se,p_pos
1000,0.8999999999999999,gaussian,0.5325109108736308,0.5127640507345826,0.49282648429535536,6,8,0.5
1000,0.96,gaussian,0.4181013726636719,0.4611550069035318,0.46041655875051013,5,9,0.5
1000,1.02,gaussian,0.4302854787857817,0.4283800525284699,0.4286095427552425,3,10,0.5
1000,1.08,gaussian,0.38716209394078255,0.3815328472855379,0.3969247677869544,4,11,0.5
1000,1.14,gaussian,0.3837206978061163,0.36059767443069085,0.3644966666618404,5,12,0.5
1000,1.2,gaussian,0.357042740671535,0.3510429090706,0.3308913427944013,4,14,0.5
1000,1.26,gaussian,0.3149453401883185,0.28478905122466985,0.2978493372835764,6,16,0.5
1000,1.3199999999999998,gaussian,0.31320988560338836,0.25706526741908425,0.2630072465455286,4,19,0.5
1000,1.38,gaussian,0.2769721079193747,0.24806848572704332,0.2242684940779493,6,23,0.5
1000,1.44,gaussian,0.17867238468583788,0.12666613884034195,0.18021362737684185,15,34,0.5
1000,1.5,gaussian,0.142242167141976,0.10641529779307837,6.427713231729786e-06,9,62,0.5
1000,1.56,gaussian,0.0039751756559780055,2.191741437619902e-19,3.5444055655377916e-08,15,19,0.5
1000,1.6199999999999999,gaussian,1.220291399476712e-29,1e-20,4.136768587007016e-18,16,14,0.5
1000,1.68,gaussian,0.11388324731432564,0.09486781400095837,2.595228660516819e-07,10,11,0.5
1000,1.74,gaussian,3.111490892396378e-22,1.2405985128548291e-12,1e-20,11,10,0.5
1000,1.7999999999999998,gaussian,1.196333447266117e-29,1e-20,1e-20,8,9,0.5
1000,1.8599999999999999,gaussian,1.7333073676645665e-28,8.071321389025071e-16,7.202992139118363e-11,7,8,0.5
1000,1.92,gaussian,1.1561742642145454e-29,1e-20,6.389014512619638e-06,7,7,0.5
1000,1.98,gaussian,1.3493798584499798e-29,1e-20,1.227182422027868e-12,8,7,0.5
1000,2.04,gaussian,1.0878453512755974e-29,1e-20,1e-20,7,7,0.5
1000,2.1,gaussian,1.2875405590516388e-29,1e-20,4.086023077998905e-07,7,6,0.5
1000,2.16,gaussian,1.292134441229387e-29,1.0000000000000004e-20,1.4951772456628506e-11,6,6,0.5
1000,2.2199999999999998,gaussian,1.291772058251051e-29,1.0000000000000004e-20,1e-20,7,6,0.5
1000,2.28,gaussian,1.1196635628496211e-29,1.0000000000000004e-20,1e-20,6,6,0.5
1000,2.34,gaussian,1.295580777309071e-29,3.574918139293008e-17,4.132840249256656e-06,5,5,0.5
