N,alpha,ensemble_type,mean_prior,mse,mse_ep,mse_se,n_iter_ep,n_iter_se
1000,1.0101010101010102,gaussian,1.0,0.1573633575498818,0.13730586604586825,0.17916316101547625,21,41
1000,1.0303030303030305,gaussian,1.0,0.12089254590568047,0.10296768704095914,0.13850824003843631,16,54
1000,1.0505050505050506,gaussian,1.0,0.24065378607397003,0.14284853258741637,0.07887711785868667,12,118
1000,1.0707070707070707,gaussian,1.0,0.11524336870899125,0.09210448061059961,1e-20,16,32
1000,1.090909090909091,gaussian,1.0,0.07730731202390793,0.06261785854631718,1e-20,21,22
1000,1.1111111111111112,gaussian,1.0,0.14479829094739227,0.11893119053748491,1e-20,7,18
1000,1.1313131313131315,gaussian,1.0,9.062575578455704e-29,1e-20,1e-20,16,16
1000,1.1515151515151516,gaussian,1.0,1.049014927839081e-28,1e-20,1e-20,14,14
1000,1.1717171717171717,gaussian,1.0,1.184938405509651e-13,6.0490501496701654e-12,1e-20,13,13
1000,1.191919191919192,gaussian,1.0,1.2516550450288373e-24,2.220446049250313e-16,5.3179682879545005e-14,14,12
1000,1.2121212121212122,gaussian,1.0,1.620624893040979e-27,1e-20,1e-20,12,12
1000,1.2323232323232325,gaussian,1.0,6.501359551430437e-29,1e-20,1e-20,12,11
1000,1.2525252525252526,gaussian,1.0,1.338938262944428e-07,4.6371684270241076e-11,1e-20,12,11
1000,1.272727272727273,gaussian,1.0,4.074299780983777e-12,1.503567270688677e-10,3.3306690738754696e-16,11,10
1000,1.292929292929293,gaussian,1.0,5.523703949121503e-29,1e-20,1e-20,11,10
1000,1.3131313131313131,gaussian,1.0,1.3257541576477638e-08,3.2268999694551326e-09,1e-20,11,10
1000,1.3333333333333335,gaussian,1.0,5.612507134710666e-29,1e-20,1.412203687323199e-13,11,9
1000,1.3535353535353536,gaussian,1.0,4.600906802590082e-29,1e-20,1e-20,10,9
1000,1.373737373737374,gaussian,1.0,1.0986312882827622e-10,2.709791280253171e-10,1e-20,9,9
1000,1.393939393939394,gaussian,1.0,1.4801504642424284e-22,1.4432899320127035e-15,1e-20,10,9
1000,1.4141414141414144,gaussian,1.0,5.991481456898004e-13,5.299094496535872e-13,1e-20,9,9
1000,1.4343434343434345,gaussian,1.0,9.171123504704666e-10,2.1436807884356315e-10,1.8235413179468196e-12,9,8
1000,1.4545454545454546,gaussian,1.0,4.438441557306171e-29,1e-20,1e-20,9,8
