N,alpha,ensemble_type,mse,mse_ep,mse_se,n_iter_ep,n_iter_se,rho,var_noise
1000,0.4081632653061224,gaussian,0.02893355526572982,0.021335715372507665,0.053001373782795985,27,48,0.25,1e-06
1000,0.42857142857142855,gaussian,0.07607925215815371,0.05907799339443198,2.1543435442062473e-06,12,64,0.25,1e-06
1000,0.44897959183673464,gaussian,1.7476523070028114e-06,2.1723649205770077e-06,2.230035252171262e-06,28,35,0.25,1e-06
1000,0.4693877551020408,gaussian,1.615678802574508e-06,1.6876590420634451e-06,1.772947702292977e-06,22,27,0.25,1e-06
1000,0.4897959183673469,gaussian,1.3260287687610609e-06,1.6783762531549749e-06,1.4878476598845205e-06,24,23,0.25,1e-06
1000,0.5102040816326531,gaussian,1.4794928212933234e-06,1.3424499499064528e-06,1.3593237312694931e-06,18,20,0.25,1e-06
1000,0.5306122448979591,gaussian,1.5035768472431277e-06,1.5980055423229385e-06,1.2296870024856636e-06,20,18,0.25,1e-06
1000,0.5510204081632653,gaussian,1.0448010692159094e-06,1.0200946646779227e-06,1.2321283020753264e-06,14,16,0.25,1e-06
1000,0.5714285714285714,gaussian,1.4623205154067073e-06,1.1836852736525754e-06,1.0744573264052532e-06,15,15,0.25,1e-06
1000,0.5918367346938775,gaussian,1.441815426936127e-06,1.2731852619796871e-06,9.907590954773673e-07,17,14,0.25,1e-06
1000,0.6122448979591836,gaussian,1.5561834220898086e-06,1.096131439882529e-06,9.396808637511161e-07,13,13,0.25,1e-06
1000,0.6326530612244897,gaussian,1.1646522088409651e-06,1.1195791660663407e-06,9.475411371246869e-07,12,12,0.25,1e-06
1000,0.6530612244897959,gaussian,1.4897911932895055e-06,1.0654216318837984e-06,9.968850433052398e-07,11,11,0.25,1e-06
1000,0.673469387755102,gaussian,1.088349921131318e-06,9.790086220265024e-07,7.833206685652125e-07,10,11,0.25,1e-06
1000,0.6938775510204082,gaussian,5.375973910816906e-07,6.73404149494529e-07,8.589685365074472e-07,10,10,0.25,1e-06
1000,0.7142857142857142,gaussian,5.973208630838132e-07,7.51540931292935e-07,6.979446129782486e-07,10,10,0.25,1e-06
1000,0.7346938775510203,gaussian,8.126112656704608e-07,7.274628086554074e-07,8.038375881942846e-07,10,9,0.25,1e-06
1000,0.7551020408163265,gaussian,5.935709132395177e-07,6.463297884961162e-07,6.600447524094903e-07,9,9,0.25,1e-06
1000,0.7755102040816326,gaussian,5.577612141732593e-07,5.742318544498495e-07,8.15313993207222e-07,9,8,0.25,1e-06
1000,0.7959183673469387,gaussian,6.961210232848503e-07,6.435804977005289e-07,6.67496883143748e-07,8,8,0.25,1e-06
1000,0.8163265306122448,gaussian,6.035918327628618e-07,6.934447499233129e-07,5.670578783095562e-07,7,8,0.25,1e-06
1000,0.836734693877551,gaussian,5.361782229739775e-07,6.432715426033581e-07,7.213745946559164e-07,7,7,0.25,1e-06
1000,0.8571428571428571,gaussian,7.580133814942968e-07,6.750579285114174e-07,5.939469290630262e-07,7,7,0.25,1e-06
1000,0.8775510204081632,gaussian,4.4211460050700517e-07,4.917813664245688e-07,5.150805182955717e-07,7,7,0.25,1e-06
1000,0.8979591836734693,gaussian,5.6462988969082e-07,6.163237845021005e-07,4.6297174968323945e-07,6,7,0.25,1e-06
1000,0.9183673469387754,gaussian,5.596498584951512e-07,5.073376147259498e-07,5.606576932026684e-07,6,6,0.25,1e-06
1000,0.9387755102040816,gaussian,5.589675257500564e-07,5.373854317889097e-07,4.824367470745155e-07,6,6,0.25,1e-06
1000,0.9591836734693877,gaussian,4.7134470707559236e-07,4.15746891846678e-07,4.2370152797436577e-07,6,6,0.25,1e-06
1000,0.9795918367346939,gaussian,5.700500310635853e-07,5.517542629509974e-07,5.141351454445065e-07,5,5,0.25,1e-06
1000,1.0,gaussian,3.175578712625903e-07,3.9542947309591185e-07,4.001029354876117e-07,5,5,0.25,1e-06
1000,0.02040816326530612,gaussian,0.5220274107397065,0.48696629866206514,0.4899941509983544,2,3,0.5,1e-06
1000,0.04081632653061224,gaussian,0.49887826055067075,0.4756273111782203,0.479954273149379,2,3,0.5,1e-06
1000,0.061224489795918366,gaussian,0.43250783894036815,0.46950006524699855,0.46934260055378174,1,3,0.5,1e-06
1000,0.08163265306122448,gaussian,0.4557210507129396,0.4414250168237188,0.4591428932560427,2,3,0.5,1e-06
1000,0.1020408163265306,gaussian,0.4201750939452419,0.44330033091185517,0.44831167809707445,2,4,0.5,1e-06
1000,0.12244897959183673,gaussian,0.4309235379375593,0.416494050169841,0.43786300100693815,2,4,0.5,1e-06
