N,mse,mse_ep,mse_se,n_iter_ep,n_iter_se,p_pos,prior_type,rho,var_noise
1000,0.0,1e-20,4.2491140276574984e-12,2,3,0.25,binary,,0.021209508879201904
1000,0.0,1e-20,4.1544497605202145e-12,2,3,0.5,binary,,0.021209508879201904
1000,3.57452597678271e-34,1.5543122344752192e-18,2.3944852182837413e-10,2,3,0.25,binary,,0.025595479226995357
1000,0.0,1e-20,1.948937165641766e-10,2,3,0.5,binary,,0.025595479226995357
1000,5.457931387997875e-32,2.2870594307278223e-17,1.7104192493081113e-08,2,3,0.25,binary,,0.030888435964774818
1000,4.38064013281752e-28,1.7881252034612773e-15,1.983630764469747e-08,2,3,0.5,binary,,0.030888435964774818
1000,2.6116764826029605e-22,1.6162724492119196e-12,2.9871118571386017e-07,3,3,0.25,binary,,0.0372759372031494
1000,1.4881589715708993e-24,1.47208911727148e-13,3.4671247201370444e-07,2,3,0.5,binary,,0.0372759372031494
1000,1.7860241468161737e-13,2.75802315643503e-08,3.238822407605346e-06,3,3,0.25,binary,,0.04498432668969444
1000,3.0360869204296914e-18,1.3209122196045087e-10,3.7629822894549687e-06,3,3,0.5,binary,,0.04498432668969444
1000,2.9357816866641885e-12,1.8105909257259967e-07,2.364846942383463e-05,3,3,0.25,binary,,0.054286754393238594
1000,1.9547726436413863e-08,9.178008388949221e-06,2.750717241741001e-05,3,3,0.5,binary,,0.054286754393238594
1000,3.918788459068785e-08,2.0575238757364223e-05,0.0001243703718065956,3,3,0.25,binary,,0.0655128556859551
1000,0.0023053784906123635,0.0007341383100717392,0.00014485727453981243,3,3,0.5,binary,,0.0655128556859551
1000,1.575153435147699e-05,0.0003309128672399262,0.0004981039158580772,3,3,0.25,binary,,0.07906043210907697
1000,0.00014290848567437417,0.0007128391940300784,0.0005810544258357553,3,3,0.5,binary,,0.07906043210907697
1000,1.793918096455913e-05,0.0003552487005322322,0.0015908778752832175,3,3,0.25,binary,,0.09540954763499938
1000,0.0007574056518980834,0.0024349179669883674,0.0018591352028579679,3,3,0.5,binary,,0.09540954763499938
1000,0.009626717643567933,0.0076169703118245695,0.004209600851117949,3,3,0.25,binary,,0.1151395399326447
1000,0.0004766039201036049,0.003152628544075039,0.00492954673079403,3,3,0.5,binary,,0.1151395399326447
1000,0.004717408623562919,0.011496892204778049,0.009524611357101531,3,3,0.25,binary,,0.13894954943731375
1000,0.0020893949899802103,0.010046817877806521,0.011179710353161966,3,3,0.5,binary,,0.13894954943731375
1000,0.02711977123731188,0.017188471400233534,0.01891493727412567,3,3,0.25,binary,,0.16768329368110074
1000,0.012832208437310293,0.0225062887576298,0.022260794167683638,3,3,0.5,binary,,0.16768329368110074
1000,0.025212741880999028,0.034128083210705894,0.03369033466520564,3,3,0.25,binary,,0.20235896477251566
1000,0.044578127998079364,0.039745667755747394,0.039768352191295035,3,3,0.5,binary,,0.20235896477251566
