N,alpha,ensemble_type,mean_prior,mse,mse_ep,mse_se,n_iter_ep,n_iter_se,prior_type
1000,1.268456375838926,complex_gaussian,-1.0,0.5209205631784113,0.515903670703771,0.5196129168737204,7,21,gaussian
1000,1.2885906040268456,complex_gaussian,-1.0,0.5282610828876321,0.5189849349949167,0.5094897868704857,8,22,gaussian
1000,1.308724832214765,complex_gaussian,-1.0,0.43457899782024945,0.4598642729014405,0.4991194263253017,10,22,gaussian
1000,1.3288590604026844,complex_gaussian,-1.0,0.480689446876521,0.4859659110768208,0.4887601507066491,8,23,gaussian
1000,1.348993288590604,complex_gaussian,-1.0,0.5411523115378177,0.5187108453766207,0.478158602906189,6,24,gaussian
1000,1.3691275167785233,complex_gaussian,-1.0,0.501827489393034,0.46381600398395106,0.4671416951269575,8,24,gaussian
1000,1.3892617449664428,complex_gaussian,-1.0,0.46119741138547216,0.460808522324471,0.4563702326429423,6,25,gaussian
1000,1.4093959731543624,complex_gaussian,-1.0,0.42021007323612763,0.4268347374728314,0.44529432756249043,15,25,gaussian
1000,1.4295302013422817,complex_gaussian,-1.0,0.4375815027143775,0.4355762667765516,0.43422400874646916,10,26,gaussian
1000,1.4496644295302012,complex_gaussian,-1.0,0.39792687896146844,0.43218256580737885,0.42331845730281603,7,27,gaussian
1000,1.4697986577181208,complex_gaussian,-1.0,0.38859546150642055,0.4079815609650317,0.4119150515169626,6,28,gaussian
1000,1.4899328859060401,complex_gaussian,-1.0,0.4396419458089682,0.41550233271403747,0.4004714346117136,7,28,gaussian
1000,1.5100671140939597,complex_gaussian,-1.0,0.41846045327441095,0.3935943258592117,0.38828470922274005,9,29,gaussian
1000,1.5302013422818792,complex_gaussian,-1.0,0.35815792792209106,0.3483048524176071,0.3765469273236857,11,30,gaussian
1000,1.5503355704697985,complex_gaussian,-1.0,0.4135696036929229,0.41556233212595683,0.3647609730089365,5,31,gaussian
1000,1.570469798657718,complex_gaussian,-1.0,0.37442906531501385,0.39285829881825374,0.3523813175773376,7,32,gaussian
1000,1.5906040268456374,complex_gaussian,-1.0,0.3285586320556595,0.31092635835582316,0.3404669619090879,17,33,gaussian
1000,1.610738255033557,complex_gaussian,-1.0,0.33125474711082303,0.32682365733887886,0.32789679263321636,14,35,gaussian
1000,1.6308724832214765,complex_gaussian,-1.0,0.3072696601301191,0.30910624697746203,0.315314948573605,10,36,gaussian
1000,1.6510067114093958,complex_gaussian,-1.0,0.26934117780889244,0.28941839795059154,0.3019210684934597,49,37,gaussian
1000,1.6711409395973154,complex_gaussian,-1.0,0.26655587528384345,0.28466933578620457,0.2888267419972722,15,39,gaussian
1000,1.6912751677852347,complex_gaussian,-1.0,0.25523956567978096,0.26819653133720467,0.27548485713867243,11,41,gaussian
1000,1.7114093959731542,complex_gaussian,-1.0,0.2982867671675803,0.2556875072185233,0.2622081785101943,10,43,gaussian
1000,1.7315436241610738,complex_gaussian,-1.0,0.28139145517068764,0.27143487512664466,0.2478819400158764,9,45,gaussian
1000,1.751677852348993,complex_gaussian,-1.0,0.2652501342904953,0.2461520799719786,0.2341753391416307,20,47,gaussian
1000,1.7718120805369126,complex_gaussian,-1.0,0.25192134233045205,0.25306310309607294,0.21966590768452118,9,50,gaussian
1000,1.7919463087248322,complex_gaussian,-1.0,0.22836559692046826,0.20433237274578908,0.2052115684487128,15,53,gaussian
1000,1.8120805369127515,complex_gaussian,-1.0,0.15483772158486442,0.17235623907371478,0.18934301757478467,14,57,gaussian
1000,1.832214765100671,complex_gaussian,-1.0,0.17759508318299103,0.20273750997509976,0.17383749480501642,10,62,gaussian
1000,1.8523489932885906,complex_gaussian,-1.0,0.1323453702890511,0.14201374740715345,0.15801158790293557,24,68,gaussian
1000,1.87248322147651,complex_gaussian,-1.0,0.20669140959763552,0.18688814908815699,0.14158481162339798,9,75,gaussian
1000,1.8926174496644295,complex_gaussian,-1.0,0.10267786358082845,0.10443115949142978,0.12473123191712676,31,84,gaussian
1000,1.9127516778523488,complex_gaussian,-1.0,0.09825415552711558,0.11607263409329582,0.10698969963173766,27,96,gaussian
1000,1.9328859060402683,complex_gaussian,-1.0,0.1982187025268938,0.160679329622887,0.08835048738768503,10,114,gaussian
